Date,Day of the week,Greenhouse,Greenhouse ADA,Greenhouse Pet Friendly,Spyglass,Spyglass ADA,Spyglass Pet Friendly,Comments
9/14/2027,Tue,406,406,406,487,487,487,
9/15/2027,Wed,406,406,406,487,487,487,
9/16/2027,Thu,445,445,445,533,533,533,
9/17/2027,Fri,595,595,595,714,714,714,
9/18/2027,Sat,807,807,807,969,969,969,
9/19/2027,Sun,472,472,472,566,566,566,
9/20/2027,Mon,406,406,406,487,487,487,
9/21/2027,Tue,406,406,406,487,487,487,
9/22/2027,Wed,406,406,406,487,487,487,
9/23/2027,Thu,445,445,445,533,533,533,
9/24/2027,Fri,595,595,595,714,714,714,
9/25/2027,Sat,807,807,807,969,969,969,
9/26/2027,Sun,472,472,472,566,566,566,
9/27/2027,Mon,406,406,406,487,487,487,
9/28/2027,Tue,406,406,406,487,487,487,
9/29/2027,Wed,406,406,406,487,487,487,
9/30/2027,Thu,445,445,445,533,533,533,
10/1/2027,Fri,684,684,684,822,822,822,
10/2/2027,Sat,930,930,930,1115,1115,1115,
10/3/2027,Sun,542,542,542,651,651,651,
10/4/2027,Mon,467,467,467,560,560,560,
10/5/2027,Tue,467,467,467,560,560,560,
10/6/2027,Wed,467,467,467,560,560,560,
10/7/2027,Thu,511,511,511,613,613,613,
10/8/2027,Fri,787,787,787,945,945,945,Columbus Day
10/9/2027,Sat,1069,1069,1069,1283,1283,1283,Columbus Day
10/10/2027,Sun,623,623,623,749,749,749,Columbus Day
10/11/2027,Mon,537,537,537,644,644,644,Columbus Day
10/12/2027,Tue,467,467,467,560,560,560,
10/13/2027,Wed,467,467,467,560,560,560,
10/14/2027,Thu,511,511,511,613,613,613,
10/15/2027,Fri,684,684,684,822,822,822,
10/16/2027,Sat,930,930,930,1115,1115,1115,
10/17/2027,Sun,542,542,542,651,651,651,
10/18/2027,Mon,467,467,467,560,560,560,
10/19/2027,Tue,467,467,467,560,560,560,
10/20/2027,Wed,467,467,467,560,560,560,
10/21/2027,Thu,511,511,511,613,613,613,
10/22/2027,Fri,684,684,684,822,822,822,
10/23/2027,Sat,930,930,930,1115,1115,1115,
10/24/2027,Sun,542,542,542,651,651,651,
10/25/2027,Mon,467,467,467,560,560,560,
10/26/2027,Tue,467,467,467,560,560,560,
10/27/2027,Wed,467,467,467,560,560,560,
10/28/2027,Thu,511,511,511,613,613,613,
10/29/2027,Fri,684,684,684,822,822,822,
10/30/2027,Sat,930,930,930,1115,1115,1115,
10/31/2027,Sun,542,542,542,651,651,651,
11/1/2027,Mon,406,406,406,487,487,487,
11/2/2027,Tue,406,406,406,487,487,487,
11/3/2027,Wed,406,406,406,487,487,487,
11/4/2027,Thu,445,445,445,533,533,533,
11/5/2027,Fri,595,595,595,714,714,714,
11/6/2027,Sat,807,807,807,969,969,969,
11/7/2027,Sun,472,472,472,566,566,566,
11/8/2027,Mon,406,406,406,487,487,487,
11/9/2027,Tue,406,406,406,487,487,487,
11/10/2027,Wed,406,406,406,487,487,487,
11/11/2027,Thu,445,445,445,533,533,533,
11/12/2027,Fri,595,595,595,714,714,714,
11/13/2027,Sat,807,807,807,969,969,969,
11/14/2027,Sun,472,472,472,566,566,566,
11/15/2027,Mon,406,406,406,487,487,487,
11/16/2027,Tue,406,406,406,487,487,487,
11/17/2027,Wed,406,406,406,487,487,487,
11/18/2027,Thu,445,445,445,533,533,533,
11/19/2027,Fri,595,595,595,714,714,714,
11/20/2027,Sat,807,807,807,969,969,969,
11/21/2027,Sun,472,472,472,566,566,566,
11/22/2027,Mon,406,406,406,487,487,487,
11/23/2027,Tue,406,406,406,487,487,487,
11/24/2027,Wed,406,406,406,487,487,487,
11/25/2027,Thu,645,645,645,773,773,773,Thanksgiving
11/26/2027,Fri,595,595,595,714,714,714,
11/27/2027,Sat,807,807,807,969,969,969,
11/28/2027,Sun,472,472,472,566,566,566,
11/29/2027,Mon,406,406,406,487,487,487,
11/30/2027,Tue,406,406,406,487,487,487,
12/1/2027,Wed,467,467,467,560,560,560,
12/2/2027,Thu,511,511,511,613,613,613,
12/3/2027,Fri,684,684,684,822,822,822,
12/4/2027,Sat,930,930,930,1115,1115,1115,
12/5/2027,Sun,542,542,542,651,651,651,
12/6/2027,Mon,467,467,467,560,560,560,
12/7/2027,Tue,467,467,467,560,560,560,
12/8/2027,Wed,467,467,467,560,560,560,
12/9/2027,Thu,511,511,511,613,613,613,
12/10/2027,Fri,684,684,684,822,822,822,
12/11/2027,Sat,930,930,930,1115,1115,1115,
12/12/2027,Sun,542,542,542,651,651,651,
12/13/2027,Mon,467,467,467,560,560,560,
12/14/2027,Tue,467,467,467,560,560,560,
12/15/2027,Wed,467,467,467,560,560,560,
12/16/2027,Thu,511,511,511,613,613,613,
12/17/2027,Fri,821,821,821,986,986,986,Pre-XMAS
12/18/2027,Sat,1115,1115,1115,1339,1339,1339,Pre-XMAS
12/19/2027,Sun,650,650,650,781,781,781,Pre-XMAS
12/20/2027,Mon,560,560,560,672,672,672,Pre-XMAS
12/21/2027,Tue,560,560,560,672,672,672,Pre-XMAS
12/22/2027,Wed,560,560,560,672,672,672,Pre-XMAS
12/23/2027,Thu,613,613,613,736,736,736,Pre-XMAS
12/24/2027,Fri,1255,1255,1255,1506,1506,1506,XMAS
12/25/2027,Sat,1255,1255,1255,1506,1506,1506,XMAS
12/26/2027,Sun,1255,1255,1255,1506,1506,1506,XMAS
12/27/2027,Mon,467,467,467,560,560,560,
12/28/2027,Tue,467,467,467,560,560,560,
12/29/2027,Wed,467,467,467,560,560,560,
12/30/2027,Thu,1569,1569,1569,1882,1882,1882,NYE
12/31/2027,Fri,1569,1569,1569,1882,1882,1882,NYE
1/1/2028,Sat,1569,1569,1569,1882,1882,1882,NYE
1/2/2028,Sun,784,784,784,941,941,941,NYE
1/3/2028,Mon,345,345,345,414,414,414,
1/4/2028,Tue,345,345,345,414,414,414,
1/5/2028,Wed,345,345,345,414,414,414,
1/6/2028,Thu,378,378,378,453,453,453,
1/7/2028,Fri,506,506,506,607,607,607,
1/8/2028,Sat,686,686,686,824,824,824,
1/9/2028,Sun,401,401,401,481,481,481,
