date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-09-04,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Fall Peak,9,Saturday,1100,2300.0,-1200.0,1200.0
2027-09-04,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Fall Peak,9,Saturday,1075,2268.0,-1193.0,1193.0
2027-11-25,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Shoulder,11,Thursday,750,1937.0,-1187.0,1187.0
2027-09-03,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Fall Peak,9,Friday,1100,2286.0,-1186.0,1186.0
2027-09-03,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Fall Peak,9,Friday,1100,2286.0,-1186.0,1186.0
2027-03-27,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,3,Saturday,1025,2211.0,-1186.0,1186.0
2027-03-27,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,3,Saturday,1025,2211.0,-1186.0,1186.0
2027-05-30,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,5,Sunday,925,2106.0,-1181.0,1181.0
2027-02-26,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Off,2,Friday,1250,2429.0,-1179.0,1179.0
2027-04-25,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,4,Sunday,925,2101.0,-1176.0,1176.0
2027-11-25,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Shoulder,11,Thursday,825,1999.0,-1174.0,1174.0
2027-11-25,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Shoulder,11,Thursday,825,1999.0,-1174.0,1174.0
2027-06-11,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Friday,1500,2656.0,-1156.0,1156.0
2027-05-27,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,5,Thursday,1025,2179.0,-1154.0,1154.0
