unit_id,month_index,day_of_week,source_used,sample_n,raw_cell_adr,fallback_adr,smooth_weight_cell,pre_hierarchy_adr,month_baseline_adr,cap_low,cap_high,post_hierarchy_adr,hierarchy_uplift,final_matrix_adr
12BR,5,Saturday,listing_dow,0,,2896.44,,2896.44,2497.1685185185183,1623.159537037037,3995.4696296296297,3013.46,117.01999999999998,3013.0
12BR,5,Sunday,lmd_smoothed_to_listing_dow,1,1472.25,1869.3625563909775,0.1111,1825.238939014202,2497.1685185185183,1623.159537037037,3995.4696296296297,1825.238939014202,0.0,1825.0
12BR,6,Monday,lmd_smoothed_to_listing_dow,2,1664.75,1664.0,0.2,1664.15,2075.318181818182,1348.9568181818183,3320.5090909090914,1761.2268518518517,97.07685185185164,1761.0
12BR,6,Tuesday,lmd_smoothed_to_listing_dow,1,1609.5,1780.1927083333335,0.1111,1761.2268518518517,2075.318181818182,1348.9568181818183,3320.5090909090914,1761.2268518518517,0.0,1761.0
12BR,6,Wednesday,lmd_smoothed_to_listing_dow,1,1986.0,1779.6571428571428,0.1111,1802.584126984127,2075.318181818182,1348.9568181818183,3320.5090909090914,1761.2268518518517,-41.35727513227516,1761.0
12BR,6,Thursday,listing_month_dow,4,2283.5,2872.893611111111,,2283.5,2075.318181818182,1348.9568181818183,3320.5090909090914,2283.5,0.0,2284.0
12BR,6,Friday,listing_month_dow,3,2199.0,3183.2250000000004,,2199.0,2075.318181818182,1348.9568181818183,3320.5090909090914,2547.7200000000003,348.72000000000025,2548.0
12BR,6,Saturday,listing_dow,0,,2896.44,,2896.44,2075.318181818182,1348.9568181818183,3320.5090909090914,2547.7200000000003,-348.7199999999998,2548.0
12BR,6,Sunday,listing_dow,0,,1869.3625563909775,,1869.3625563909775,2075.318181818182,1348.9568181818183,3320.5090909090914,1869.3625563909775,0.0,1869.0
12BR,7,Monday,lmd_smoothed_to_listing_dow,1,1467.5,1664.0,0.1111,1642.1666666666665,2204.0370370370374,1432.6240740740743,3526.45925925926,1700.1396825396823,57.97301587301581,1700.0
